<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DATA,D,20201210,00:00:00,54.18,54.8,53.84,64.18,
DATA,D,20201211,00:00:00,54.58,55.6,54.42,64.58,
DATA,D,20201214,00:00:00,55.4,56.02,54.68,65.4,
DATA,D,20201215,00:00:00,55.2,55.52,54.74,65.2,
DATA,D,20201216,00:00:00,54.86,55.36,54.52,64.86,
DATA,D,20201217,00:00:00,55.26,55.92,55.14,65.26,
DATA,D,20201218,00:00:00,55.58,55.58,54.9,65.58,
DATA,D,20201221,00:00:00,55.16,55.16,53.54,65.16,
DATA,D,20201222,00:00:00,54.18,54.72,53.54,64.18,
DATA,D,20201223,00:00:00,54.5,54.72,54.24,64.5,
DATA,D,20201224,00:00:00,54.72,54.98,54.52,64.72,
DATA,D,20201225,00:00:00,54.66,54.86,54.5,64.66,
DATA,D,20201228,00:00:00,54.52,55.04,54.52,64.52,
DATA,D,20201229,00:00:00,55.1,55.36,54.98,65.1,
DATA,D,20201230,00:00:00,55.24,55.64,55.14,65.24,
DATA,D,20210104,00:00:00,55.58,56.58,55.58,65.58,
DATA,D,20210105,00:00:00,56.3,56.58,55.78,66.3,
DATA,D,20210106,00:00:00,56.8,57.16,56.56,66.8,
DATA,D,20210108,00:00:00,57.1,58.68,56.94,67.1,
DATA,D,20210111,00:00:00,58.48,59.48,57.9,68.48,
DATA,D,20210112,00:00:00,59.02,59.54,58.4,69.02,
DATA,D,20210113,00:00:00,58.96,59.2,58.34,68.96,
DATA,D,20210114,00:00:00,58.64,59.1,57.9,68.64,
DATA,D,20210115,00:00:00,58.92,59.2,58.3,68.92,
DATA,D,20210118,00:00:00,58.4,58.66,57.74,68.4,
DATA,D,20210119,00:00:00,58.58,58.9,58.14,68.58,
DATA,D,20210120,00:00:00,58.44,58.74,58.2,68.44,
DATA,D,20210121,00:00:00,58.6,58.86,57.58,68.6,
DATA,D,20210122,00:00:00,57.66,57.66,56.5,67.66,
DATA,D,20210125,00:00:00,57.5,57.82,57,67.5,
DATA,D,20210126,00:00:00,57.3,57.5,56.84,67.3,
DATA,D,20210127,00:00:00,57.66,58.8,56.06,67.66,
DATA,D,20210128,00:00:00,56.4,56.6,55.66,66.4,
DATA,D,20210129,00:00:00,56.34,56.34,55.28,66.34,
DATA,D,20210201,00:00:00,55.38,55.82,55.1,65.38,
DATA,D,20210202,00:00:00,55.82,56.8,55.82,65.82,
DATA,D,20210203,00:00:00,56.3,56.9,56.24,66.3,
DATA,D,20210204,00:00:00,56.68,57.08,56.42,66.68,
DATA,D,20210205,00:00:00,57.44,57.44,56.9,67.44,
DATA,D,20210208,00:00:00,57.2,58.06,57.1,67.2,
DATA,D,20210209,00:00:00,58.3,58.52,57.64,68.3,
DATA,D,20210210,00:00:00,58.02,58.1,57.2,68.02,
DATA,D,20210211,00:00:00,57.42,57.58,57.2,67.42,
DATA,D,20210212,00:00:00,57.46,57.6,56.4,67.46,
DATA,D,20210215,00:00:00,57.02,58.52,57,67.02,
DATA,D,20210216,00:00:00,58.64,59.16,58.6,68.64,
DATA,D,20210217,00:00:00,59,59,57.82,69,
DATA,D,20210218,00:00:00,57.9,58.86,57.26,67.9,
DATA,D,20210219,00:00:00,57.52,58.34,56.86,67.52,
DATA,D,20210220,00:00:00,58.08,58.34,57.78,68.08,
DATA,D,20210222,00:00:00,58.18,58.26,57.52,68.18,
DATA,D,20210224,00:00:00,57.6,57.86,57.04,67.6,
DATA,D,20210225,00:00:00,57.38,57.7,57.14,67.38,
DATA,D,20210226,00:00:00,57.4,57.4,56.02,67.4,
DATA,D,20210301,00:00:00,56.72,57.14,56.44,66.72,
DATA,D,20210302,00:00:00,56.8,57.6,56.76,66.8,
DATA,D,20210303,00:00:00,57.66,58,57.36,67.66,
DATA,D,20210304,00:00:00,57.34,57.46,56.68,67.34,
DATA,D,20210305,00:00:00,56.7,57.9,56.66,66.7,
DATA,D,20210309,00:00:00,57.84,58.76,57.5,67.84,
DATA,D,20210310,00:00:00,58.6,59.1,58.3,68.6,
DATA,D,20210311,00:00:00,58.68,58.94,58.38,68.68,
DATA,D,20210312,00:00:00,59.24,59.44,58.96,69.24,
DATA,D,20210315,00:00:00,59.68,60.64,58.14,69.68,
DATA,D,20210316,00:00:00,60.7,60.7,59.78,70.7,
DATA,D,20210317,00:00:00,60.22,60.38,58.96,70.22,
DATA,D,20210318,00:00:00,59.56,59.76,58.96,69.56,
DATA,D,20210319,00:00:00,58.38,58.92,57.5,68.38,
DATA,D,20210322,00:00:00,58.76,58.88,58.46,68.76,
DATA,D,20210323,00:00:00,58.78,58.78,58.24,68.78,
DATA,D,20210324,00:00:00,58.26,58.7,58,68.26,
DATA,D,20210325,00:00:00,58.52,58.6,57.94,68.52,
DATA,D,20210326,00:00:00,58.54,58.84,58.36,68.54,
DATA,D,20210329,00:00:00,59.06,59.58,58.86,69.06,
DATA,D,20210330,00:00:00,59.6,59.74,59,69.6,
DATA,D,20210331,00:00:00,59.14,59.52,59.14,69.14,
DATA,D,20210401,00:00:00,59.42,60.08,59.42,69.42,
DATA,D,20210402,00:00:00,59.76,60,59.56,69.76,
DATA,D,20210405,00:00:00,60,60,59.2,70,
DATA,D,20210406,00:00:00,59.44,59.6,58.78,69.44,
DATA,D,20210407,00:00:00,58.84,59.14,58.22,68.84,
DATA,D,20210408,00:00:00,59.16,59.32,58.86,69.16,
DATA,D,20210409,00:00:00,59.22,59.22,58.7,69.22,
DATA,D,20210412,00:00:00,58.8,59.5,58.52,68.8,
DATA,D,20210413,00:00:00,59.2,59.5,59.12,69.2,
DATA,D,20210414,00:00:00,59.5,59.94,59.5,69.5,
DATA,D,20210415,00:00:00,59.86,60,59.32,69.86,
DATA,D,20210416,00:00:00,60.02,60.4,59.8,70.02,
DATA,D,20210419,00:00:00,60.38,60.7,60,70.38,
DATA,D,20210420,00:00:00,60.24,60.42,59.64,70.24,
DATA,D,20210421,00:00:00,59.7,60.08,59.62,69.7,
DATA,D,20210422,00:00:00,60.02,60.56,59.96,70.02,
DATA,D,20210423,00:00:00,60.52,60.6,60.24,70.52,
DATA,D,20210426,00:00:00,60.38,60.82,60.38,70.38,
DATA,D,20210427,00:00:00,60.66,61.1,60.5,70.66,
DATA,D,20210428,00:00:00,60.66,60.92,60.04,70.66,
DATA,D,20210429,00:00:00,60.38,60.78,60.12,70.38,
DATA,D,20210430,00:00:00,60.34,60.42,59.62,70.34,
DATA,D,20210504,00:00:00,59.76,60.52,59.76,69.76,
DATA,D,20210505,00:00:00,60.58,61.18,60.38,70.58,
